s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1992-04-18-1.mp3,unknown,EFRL-1992-04-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-04-25-1.mp3,unknown,EFRL-1992-04-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-05-02-1.mp3,unknown,EFRL-1992-05-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-05-09-1.mp3,unknown,EFRL-1992-05-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-05-16-1.mp3,unknown,EFRL-1992-05-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-05-23-1.mp3,unknown,EFRL-1992-05-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-05-30-1.mp3,unknown,EFRL-1992-05-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-06-06-1.mp3,unknown,EFRL-1992-06-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-06-13-1.mp3,unknown,EFRL-1992-06-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-06-20-1.mp3,unknown,EFRL-1992-06-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-06-27-1.mp3,unknown,EFRL-1992-06-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-07-04-1.mp3,unknown,EFRL-1992-07-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-07-11-1.mp3,unknown,EFRL-1992-07-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-07-18-1.mp3,unknown,EFRL-1992-07-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-07-25-1.mp3,unknown,EFRL-1992-07-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
